ItemName_Base.TatteredPaper = "破旧的纸张",
Sandbox_ImmersiveLore_BlacklistedStories = "黑名单故事",
Sandbox_ImmersiveLore_BlacklistedStories_tooltip = "你不想生成的故事的 ID, 两个 ID 之间以英文分号分隔. 更改后需要重启.",
Sandbox_ImmersiveLore_Options = "沉浸式故事选项",
UI_ImmersiveLore_Story_0_Content = "儿子, 如果你找到这封信, 那你应当知道我已九死一生. \n\n这并不是你的错. 当时, 我不知道你母亲变成了什么怪物, 而她咬了我. \n我没想太多, 因为我不知道被咬了会有什么后果, 但我能感觉到我的身体越来越虚弱, 感觉这种该死的疾病就像寄生虫一样试图吞噬我的大脑. 我打算开车去小屋, 自己静一静. \n请理解, 这是我自己的决定, 不是你的错. \n\n儿子, 我永远爱你. 永别了. \n\n——爸爸",
UI_ImmersiveLore_Story_0_Title = "写给儿子的信",
UI_ImmersiveLore_Story_100_Content = "路易斯维尔动物园\n快来路易斯维尔, 享受一段狂野难忘的时光吧! \n一人入场 (+5岁以下儿童) \n有效期至: 7-2-93\n不可转让",
UI_ImmersiveLore_Story_100_Title = "路易斯维尔动物园门票",
UI_ImmersiveLore_Story_101_Title = "思辨涂鸦",
UI_ImmersiveLore_Story_102_Title = "皱巴巴的音乐节传单",
UI_ImmersiveLore_Story_103_Content = "诚挚邀请您参加…\n\n搭乘历史悠久的迪莉娅号, 体验 7 月 4 日豪华游轮之旅\n\n登上豪华明轮蒸汽船迪莉娅号, 仿佛回到了更优雅、更简单的历史时期. 这次奢华的游轮之旅, 不仅庆祝激动人心的独立日假期, 也庆祝我们邮轮的百年华诞. \n\n迪莉娅号于 1893 年在宾夕法尼亚州匹兹堡建造, 最初是一艘载客量很大的邮轮, 在雄伟的俄亥俄河上载客. 1967 年, 一场大火烧毁了邮轮的大部分建筑, 使其濒临报废. 然而, 在路易斯维尔的一位捐助者向\"迪莉娅之友\"慷慨解囊后, 我们引以为豪的邮轮于 1984 年得以修复, 并重回巅峰, 成为密西西比河上游明轮船群中一颗璀璨的明珠. \n\n如今,迪莉娅号沿着原始的俄亥俄河最翠绿的河段之一航行, 在勃兰登堡和肯塔基州路易斯维尔之间航行, 在绕过雄伟的谢尔曼·明顿大桥时, 可以欣赏到印第安纳州新奥尔巴尼河畔的迷人景色. 邮轮由 Friends of Delilah, LLC 运营. 迪莉娅号是您举办派对、活动或其他聚会的理想场所, 这里环境优美, 活动精心策划. \n\n值此独立日之际, 迪莉娅之友诚邀您参加我们为时五小时的晚餐之旅, 下午 5 点从勃兰登堡港出发, 晚上 10 点左右返回. 现场音乐、新鲜烹制的美食和舞蹈将伴您度过悠闲的时光.迪莉娅号将缓缓驶过诺克斯郡的河岸, 在温暖迷人的烟火表演中, 其璀璨夺目甚至比月亮还要璀璨. \n\n立即预订席位, 参与这场千载难逢的活动吧! 门票 150 美元起, 先到先得. 迪莉娅之友有限责任公司, 对历史悠久的迪莉娅号上个人或团体的健康和安全概不负责. 甲板上禁止饮酒.",
UI_ImmersiveLore_Story_103_Title = "迪莉娅号 7 月 4 日河上游船传单",
UI_ImmersiveLore_Story_104_Content = "别喝牛奶罐里的东西. 那是过氧化氢. 它看起来像水, 或许你很渴, 但它不能解渴, 只会溶解你的内脏. 别碰它, 好吗? 它只能用来清理伤口和血液. 所以它很有用, 但别喝. 我真的不想在你喝下去之后清理你的尸体.",
UI_ImmersiveLore_Story_104_Title = "别喝它",
UI_ImmersiveLore_Story_105_Content = "3-2-8-3-2-8-3-2-8\n4-2-3-6-4\n0-8-9\n3-2-8-3-2-8-3-2-8\nx2\n然后哔哔响了几下, 之后是: \n3-7-4-1-1\n6-3-9-6-0\n4-0-2-6-7\n3-2-6-2-8\n3-4-6-7-4\n4-9-8-7-0\n3-6-2-4-3\n4-7-8-7-9\n8-6-0-8-9\n9-3-1-8-1\n5-0-8-1-9\n5-7-4-9-9\n0-3-8-1-3\n9-7-6-6-5\n2-1-6-9-6\n9-9-6-7-7\n8-0-7-8-5\n1-8-8-0-3\n8-4-1-9-8\n9-2-8-1-3\n然后是: \n\"以下内容为重复播报.\"\n重复了几次之后，我听到收音机里传来: \n\"结束.\"\n这啥玩意?",
UI_ImmersiveLore_Story_105_Title = "我从收音机里录到的一些东西",
UI_ImmersiveLore_Story_106_Content = "肯塔基州驾照\n临时\nSHARON DELANEY\n633 BLAND STREET\nBRANDENBURG KY 40108\n\nW14810-68482 03/25/76\nF 5 04 127 RED BLU X\n04/12/93 10/12/93\nT 14153143 8410801\n\nRose Delaney",
UI_ImmersiveLore_Story_106_Title = "临时驾照",
UI_ImmersiveLore_Story_107_Content = "停车违规\n路易斯维尔市\n\n罚单编号: 552439\n违规地点: 消防栓\n日期/时间: 1993年6月29日 下午4:09\n地点: 奇克索\n车牌/所在州: 纽约州\n罚款: 100美元\n到期日期: 1993年7月29日",
UI_ImmersiveLore_Story_107_Title = "被毁的停车罚单",
UI_ImmersiveLore_Story_108_Content = "爸爸妈妈又吵架了, 所以我又躲在这里了. 虽然不太舒服, 但至少我听不到他们说话. 不知道这次我为什么写信. 大概是因为这儿有一些报纸吧. 我讨厌他们吵架. 至少这次不是因为修剪草坪这种蠢事. 算了. 我要去肯尼家过夜. 这个周末就离开他们吧. 至少他的房间没有煤气味. 真希望这手电筒别这么耗电. 它快没电了. 真蠢.",
UI_ImmersiveLore_Story_108_Title = "被遗忘的纸条",
UI_ImmersiveLore_Story_109_Content = "玫瑰是红色的, \n紫罗兰是蓝色的, \n我希望我死了, \n你呢? ",
